State,Region,Year,Index,Observed
Andhra_Pradesh,Southern,2020,PrevC,4.953253668503498e-4
Andhra_Pradesh,Southern,2020,PrevTxPri,3.7149402513776236e-4
Andhra_Pradesh,Southern,2020,OnPriDrugM,1.75e-4
Andhra_Pradesh,Southern,2020,OnPriDrugL,1.35e-4
Andhra_Pradesh,Southern,2020,OnPriDrugU,2.35e-4
Arunachal_Pradesh,Northeastern,2020,PrevA,0.001377151799687011
Arunachal_Pradesh,Northeastern,2020,PrevS,4.381846635367762e-4
Arunachal_Pradesh,Northeastern,2020,PrevC,4.381846635367762e-4
Arunachal_Pradesh,Northeastern,2020,PrevTxPri,1.2519561815336463e-4
Arunachal_Pradesh,Northeastern,2020,OnPriDrugM,2.36e-4
Arunachal_Pradesh,Northeastern,2020,OnPriDrugL,1.84e-4
Arunachal_Pradesh,Northeastern,2020,OnPriDrugU,3.17e-4
Assam,Northeastern,2020,PrevA,0.001377151799687011
Assam,Northeastern,2020,PrevS,4.381846635367762e-4
Assam,Northeastern,2020,PrevC,4.381846635367762e-4
Assam,Northeastern,2020,PrevTxPri,1.2519561815336463e-4
Assam,Northeastern,2020,OnPriDrugM,2.36e-4
Assam,Northeastern,2020,OnPriDrugL,1.84e-4
Assam,Northeastern,2020,OnPriDrugU,3.17e-4
Bihar,Eastern,2020,PrevA,0.0016710227516174643
Bihar,Eastern,2020,PrevS,7.283945327563306e-4
Bihar,Eastern,2020,PrevC,3.42773897767685e-4
Bihar,Eastern,2020,PrevTxPri,0.0022280303354899524
Bihar,Eastern,2020,OnPriDrugM,3.54e-4
Bihar,Eastern,2020,OnPriDrugL,2.98e-4
Bihar,Eastern,2020,OnPriDrugU,4.67e-4
Chandigarh,Northern,2020,PrevA,0.0016775212157094928
Chandigarh,Northern,2020,PrevS,1.9735543714229328e-4
Chandigarh,Northern,2020,PrevC,1.9735543714229328e-4
Chandigarh,Northern,2020,PrevTxPri,2.960331557134399e-4
Chandigarh,Northern,2020,OnPriDrugM,2.36e-4
Chandigarh,Northern,2020,OnPriDrugL,1.84e-4
Chandigarh,Northern,2020,OnPriDrugU,3.17e-4
Chhattisgarh,Central,2020,PrevA,0.0035732009925558313
Chhattisgarh,Central,2020,PrevS,3.970223325062035e-4
Chhattisgarh,Central,2020,PrevC,1.9851116625310174e-4
Chhattisgarh,Central,2020,PrevTxPri,9.925558312655087e-5
Chhattisgarh,Central,2020,OnPriDrugM,1.89e-4
Chhattisgarh,Central,2020,OnPriDrugL,1.48e-4
Chhattisgarh,Central,2020,OnPriDrugU,2.63e-4
Delhi,Northern,2020,PrevA,0.00322061191626409
Delhi,Northern,2020,PrevS,8.78348704435661e-4
Delhi,Northern,2020,PrevC,5.855658029571073e-4
Delhi,Northern,2020,PrevTxPri,4.391743522178305e-4
Delhi,Northern,2020,OnPriDrugM,0.001691811
Delhi,Northern,2020,OnPriDrugL,0.00132928
Delhi,Northern,2020,OnPriDrugU,0.002199354
Gujarat,Western,2020,PrevA,9.230769230769231e-4
Gujarat,Western,2020,PrevS,8.791208791208791e-5
Gujarat,Western,2020,PrevC,1.3186813186813186e-4
Gujarat,Western,2020,PrevTxPri,3.076923076923077e-4
Gujarat,Western,2020,OnPriDrugM,3.54e-4
Gujarat,Western,2020,OnPriDrugL,2.82e-4
Gujarat,Western,2020,OnPriDrugU,4.83e-4
Haryana,Northern,2020,PrevA,0.0028792912513842745
Haryana,Northern,2020,PrevS,0.0011074197120708748
Haryana,Northern,2020,PrevC,2.2148394241417498e-4
Haryana,Northern,2020,PrevTxPri,2.2148394241417498e-4
Haryana,Northern,2020,OnPriDrugM,4.3e-4
Haryana,Northern,2020,OnPriDrugL,3.43733e-4
Haryana,Northern,2020,OnPriDrugU,5.77e-4
Himachal_Pradesh,Northern,2020,PrevA,0.0018100807574491784
Himachal_Pradesh,Northern,2020,PrevS,1.392369813422445e-4
Himachal_Pradesh,Northern,2020,PrevC,6.961849067112225e-4
Himachal_Pradesh,Northern,2020,PrevTxPri,8.35421888053467e-4
Himachal_Pradesh,Northern,2020,OnPriDrugM,1.36e-4
Himachal_Pradesh,Northern,2020,OnPriDrugL,9.77e-5
Himachal_Pradesh,Northern,2020,OnPriDrugU,2.31e-4
Jammu_&_Kashmir,Northern,2020,PrevA,0.0018100807574491784
Jammu_&_Kashmir,Northern,2020,PrevS,1.392369813422445e-4
Jammu_&_Kashmir,Northern,2020,PrevC,6.961849067112225e-4
Jammu_&_Kashmir,Northern,2020,PrevTxPri,8.35421888053467e-4
Jammu_&_Kashmir,Northern,2020,OnPriDrugM,1.73e-4
Jammu_&_Kashmir,Northern,2020,OnPriDrugL,1.28e-4
Jammu_&_Kashmir,Northern,2020,OnPriDrugU,2.66e-4
Jharkhand,Eastern,2020,PrevA,0.0021481422547537593
Jharkhand,Eastern,2020,PrevS,7.956082425013923e-4
Jharkhand,Eastern,2020,PrevC,1.5912164850027846e-4
Jharkhand,Eastern,2020,PrevTxPri,8.751690667515316e-4
